field,venue_db_id,jif,unscaled_rank,scaled_rank,normed_rank,prob_upset_top,n_selected,frac_selected,ordinal_porc,ordinal_jif,subset_ordinal_porc,subset_ordinal_jif
Biology,1647094,44.7,1.0006147709448323,3.0655150365856088,0.9837850549344097,0.4460510289222115,489,0.9476744186046512,2.0,12.0,2.0,3.0
Biology,1647108,9.4,0.5898357147581695,1.8070393374255704,0.7149370414659852,0.016698200152433,485,0.939922480620155,10.0,106.5,10.0,10.5
Biology,1647092,50.5,1.0253899580263024,3.1414170827454444,1.0,0.5,473,0.9166666666666666,1.0,8.0,1.0,1.0
Biology,1647607,45.5,0.7566771489408681,2.318180028192736,0.824131966252654,0.0740769093650961,279,0.5406976744186046,3.0,11.0,3.0,2.0
Biology,1647101,4.0,-0.027741157549708982,-0.08498868702550054,0.3107433203319456,4.5941618296635346e-05,223,0.4321705426356589,453.0,299.0,453.0,20.0
Biology,1647096,2.9,-0.2964272309430833,-0.9081438332670355,0.13489278464734336,3.398460935985405e-06,204,0.3953488372093023,850.0,469.0,850.0,28.5
Biology,1647807,9.4,0.04234579396204481,0.12973191271624898,0.3566140564374165,9.104114480183022e-05,183,0.3546511627906977,279.0,106.5,279.0,10.5
Biology,1647235,16.6,0.015935773747421608,0.04882134010096528,0.3393291404626937,6.966086956864765e-05,164,0.3178294573643411,336.0,50.5,336.0,6.0
Biology,1647542,7.4,0.009036819945626698,0.027685487193115532,0.3348138907276143,6.430874015774498e-05,162,0.313953488372093,348.0,139.0,348.0,15.0
Biology,1647373,4.7,-0.15096542868317614,-0.46250245855943295,0.23009509835863948,1.31211174389586e-05,140,0.2713178294573643,743.0,236.0,743.0,17.0
Biology,1647456,3.2,-0.15927460812919297,-0.4879587233209463,0.22465687955471103,1.2418293477110585e-05,130,0.251937984496124,752.0,418.5,752.0,24.0
Biology,1647164,2.9,-0.15163695585373455,-0.4645597704226976,0.229655595070739,1.2420856168109489e-05,113,0.2189922480620155,744.0,469.0,744.0,28.5
Biology,1649773,7.5,0.12541759537731595,0.3842333090071574,0.41098315936361435,0.0002111393984972,108,0.2093023255813953,156.0,137.5,156.0,14.0
Biology,1647827,3.1,0.24266135677138742,0.7434250018901292,0.4877172378606415,0.0006314161587507,105,0.2034883720930232,69.0,435.0,69.0,25.5
Biology,1647649,2.4,0.3229606720565405,0.9894325220486908,0.5402717950420526,0.0013772814501034,104,0.2015503875968992,41.0,564.0,41.0,30.0
Biology,1647243,14.7,0.3838215054304019,1.1758876946727512,0.5801041913245938,0.0024960236047386,99,0.191860465116279,29.0,61.5,29.0,7.5
Biology,1649508,14.5,0.5127022659197943,1.570730865770216,0.6644544908591639,0.0086193620357493,96,0.1860465116279069,16.0,64.0,16.0,9.0
Biology,1647638,4.4,0.29954696091608457,0.9177015366110425,0.5249479131809124,0.0010995121556979,95,0.1841085271317829,48.0,258.0,48.0,18.5
Biology,1648390,3.8,0.37466361657564323,1.1478312969432496,0.5741105064249244,0.0022287849646421,95,0.1841085271317829,30.0,323.0,30.0,21.5
Biology,1647722,8.1,0.4372798928982021,1.3396645000655196,0.6150918107211693,0.0042096377115174,92,0.1782945736434108,25.0,125.0,25.0,12.0
Biology,1647105,3.8,-0.07062874129739839,-0.21638044405225648,0.28267411495408545,2.9448525855990323e-05,91,0.1763565891472868,580.0,323.0,580.0,21.5
Biology,1647320,4.4,0.1981908197523877,0.6071836591923242,0.4586120160744575,0.0003851991736171,86,0.1666666666666666,94.0,258.0,94.0,18.5
Biology,1650126,16.7,0.3721617472455714,1.1401664909923384,0.572473074844085,0.0021729179058497,79,0.1531007751937984,33.0,49.0,33.0,5.0
Biology,1648393,2.3,-0.02983333892980573,-0.09139836002472576,0.3093740226538307,4.4037350399229535e-05,71,0.1375968992248062,460.0,580.0,460.0,31.0
Biology,1647774,3.3,0.12712289674867955,0.3894577241843279,0.4120992505546116,0.000206365307471,71,0.1375968992248062,154.0,399.0,154.0,23.0
Biology,1648536,14.7,0.45247621114037717,1.3862204209102023,0.6250375465368391,0.0043787954781969,68,0.1317829457364341,23.0,61.5,23.0,7.5
Biology,1647560,6.4,0.37206412241943204,1.139867404489556,0.5724091810301783,0.0021174457606891,65,0.125968992248062,34.0,159.0,34.0,16.0
Biology,1649160,3.1,-0.038989967109828085,-0.1194508955112618,0.30338116284466515,4.199697254562553e-05,55,0.1065891472868217,492.0,435.0,492.0,25.5
Biology,1649149,31.7,0.6596924559525092,2.0210546575631185,0.7606571087737543,0.0325967269603003,55,0.1065891472868217,6.0,20.0,6.0,4.0
Biology,1653112,7.6,0.4471453605574665,1.3698886585834547,0.6215485940994459,0.0043912148242186,55,0.1065891472868217,24.0,135.0,24.0,13.0
Biology,1647196,3.0,-0.39386449037951676,-1.2066557007702867,0.07112173000674611,1.2000779113384328e-06,52,0.1007751937984496,867.0,451.5,867.0,27.0
Biology,1647209,2.7,-0.10579283897595687,-0.32411028505770106,0.2596598018728602,2.0528053963903093e-05,51,0.0988372093023255,662.0,504.5,662.0,
Biology,1647123,4.4,-0.3168498117901912,-0.9707110974036413,0.12152654747446208,2.4234614189518755e-06,49,0.0949612403100775,855.0,258.0,855.0,
Biology,1647159,3.2,-0.10506723096470545,-0.3218872894216704,0.2601347001653697,2.312729407725375e-05,46,0.0891472868217054,658.0,418.5,658.0,
Biology,1650477,21.2,0.6539581764987862,2.0034869377974256,0.7569041188961357,0.0327391612505639,45,0.0872093023255814,7.0,35.0,7.0,
Biology,1648161,2.3,0.062335816705389256,0.190973978175214,0.3696971915748969,0.0001057680987391,42,0.0813953488372093,249.0,580.0,249.0,
Biology,1647248,4.0,-0.10700747300135632,-0.32783147624628867,0.258864844243201,1.9007469744354444e-05,42,0.0813953488372093,665.0,299.0,665.0,
Biology,1649766,3.5,-0.01356884724181566,-0.041569949251940824,0.3200188601024148,5.383097676729846e-05,39,0.0755813953488372,409.0,371.0,409.0,
Biology,1647714,2.5,-0.03712305012880352,-0.11373134964449051,0.3046030287458099,4.2474998426197635e-05,39,0.0755813953488372,483.0,546.0,483.0,
Biology,1647851,3.7,0.20544994087965854,0.6294229321015504,0.46336298929278685,0.0004397579383458,38,0.0736434108527131,89.0,340.5,89.0,
Biology,1649191,5.3,0.04116846514913348,0.12612501095566708,0.35584351444462675,8.753633266598056e-05,38,0.0736434108527131,286.0,203.0,286.0,
Biology,1650306,7.8,0.4768328535959452,1.4608402005260677,0.6409785611536226,0.0055804006266606,37,0.0717054263565891,20.0,131.5,20.0,
Biology,1648936,4.5,0.23748553964882435,0.727568204972318,0.48432975222689334,0.0005973049556129,35,0.067829457364341,72.0,250.5,72.0,
Biology,1649792,11.0,0.34179891385134975,1.047145954991814,0.5526011088361593,0.0018373854188925,35,0.067829457364341,39.0,91.5,39.0,
Biology,1647100,14.4,0.1413860301309741,0.43315471039907644,0.42143423250637535,0.0002526355829499,35,0.067829457364341,136.0,65.0,136.0,
Biology,1647125,96.2,0.6609816133384939,2.0250041608744977,0.7615008406949666,0.031606195802081,34,0.065891472868217,5.0,2.0,5.0,
Biology,1647844,8.3,0.31410777993707517,0.9623105219568219,0.5344777253982318,0.0012498405346306,34,0.065891472868217,44.0,119.0,44.0,
Biology,1647227,4.7,0.06227821842413312,0.1907975182603704,0.3696594944643415,0.0001110248987115,32,0.0620155038759689,250.0,236.0,250.0,
Biology,1647140,2.5,-0.37181208339695576,-1.1390952497746323,0.08555466109261105,1.4140527684000856e-06,31,0.0600775193798449,864.0,546.0,864.0,
Biology,1648904,4.0,0.20894199181181242,0.64012128970318,0.4656484781508496,0.0004816320955498,31,0.0600775193798449,83.0,299.0,83.0,
Biology,1647747,2.8,0.07091973465551232,0.2172719405009872,0.37531522212905905,0.0001169609951828,30,0.0581395348837209,235.0,486.0,235.0,
Biology,1647110,12.5,-0.0039118524454128676,-0.011984474785430172,0.32633920148298423,6.00331707212991e-05,30,0.0581395348837209,383.0,78.5,383.0,
