user_db_id,indiv_count,field_count,asp_top_count,asp_mid_count,asp_low_count,asp_none_count,gender,institution_bin_3,institution_bin_10,career_stage,field,domain
147552,2,1,False,True,True,True,0.0,1.0,4.0,Full Professor,Mathematics,STEM
147594,1,0,True,True,True,False,0.0,,,Associate Professor,Psychology,Non-STEM
147609,4,3,True,False,True,True,0.0,,,Full Professor,Business,Non-STEM
147627,2,0,False,True,True,True,0.0,2.0,5.0,Associate Professor,Biology,STEM
147662,0,0,False,True,True,True,0.0,2.0,5.0,Full Professor,Mathematics,STEM
147704,0,0,False,False,False,True,0.0,3.0,9.0,Associate Professor,Mathematics,STEM
147711,3,2,True,True,True,False,0.0,3.0,7.0,Full Professor,Sociology,Non-STEM
147715,2,0,True,True,True,False,0.0,,,Full Professor,Computer science,STEM
147766,3,3,True,True,True,False,,1.0,1.0,Assistant Professor,Economics,Non-STEM
147775,3,2,True,False,True,True,1.0,,,Full Professor,Business,Non-STEM
147797,3,0,True,True,True,False,0.0,2.0,4.0,Full Professor,Medicine,STEM
147798,4,0,False,False,True,True,0.0,3.0,9.0,Associate Professor,Engineering,STEM
147827,5,3,True,True,True,False,0.0,2.0,5.0,Full Professor,Physics,STEM
147842,1,0,False,True,False,True,0.0,1.0,4.0,Full Professor,Business,Non-STEM
147879,3,1,True,True,True,False,0.0,1.0,1.0,Associate Professor,Engineering,STEM
147897,1,1,False,True,True,True,1.0,2.0,6.0,Associate Professor,Physics,STEM
147901,2,1,True,True,True,False,0.0,2.0,5.0,Full Professor,Chemistry,STEM
147916,5,0,True,True,True,False,0.0,1.0,3.0,Full Professor,Mathematics,STEM
147961,1,1,True,True,True,False,0.0,1.0,1.0,Full Professor,Sociology,Non-STEM
147995,1,0,False,True,False,True,0.0,2.0,6.0,Full Professor,Physics,STEM
148005,4,3,True,False,True,True,0.0,,,Full Professor,Economics,Non-STEM
148079,4,1,True,True,True,False,0.0,1.0,3.0,Full Professor,Psychology,Non-STEM
148117,2,2,True,True,True,False,0.0,1.0,3.0,Full Professor,Psychology,Non-STEM
148129,3,1,False,True,True,True,0.0,3.0,10.0,Full Professor,Biology,STEM
148144,2,0,False,True,True,True,0.0,2.0,5.0,Full Professor,Biology,STEM
148169,3,0,True,False,False,True,0.0,,,Associate Professor,Computer science,STEM
148177,1,1,False,True,True,True,0.0,2.0,5.0,Full Professor,Economics,Non-STEM
148223,4,4,True,True,True,False,1.0,1.0,2.0,Full Professor,Psychology,Non-STEM
148251,2,1,True,True,True,False,0.0,3.0,10.0,Full Professor,Chemistry,STEM
148262,2,0,False,True,True,True,1.0,2.0,6.0,Full Professor,Sociology,Non-STEM
148281,3,1,True,True,True,False,0.0,2.0,4.0,Associate Professor,Biology,STEM
148300,0,0,False,True,True,True,0.0,2.0,7.0,Full Professor,Mathematics,STEM
148311,3,0,True,True,True,False,1.0,1.0,4.0,Associate Professor,Mathematics,STEM
148376,4,3,True,True,True,False,0.0,1.0,3.0,Full Professor,Chemistry,STEM
148419,4,4,True,True,True,False,1.0,1.0,1.0,Associate Professor,Physics,STEM
148420,2,0,True,True,False,True,0.0,1.0,2.0,Full Professor,Engineering,STEM
148438,0,0,False,True,True,True,0.0,1.0,3.0,Full Professor,Psychology,Non-STEM
148442,1,0,True,True,True,False,0.0,2.0,6.0,Full Professor,Psychology,Non-STEM
148450,2,2,True,True,True,False,0.0,2.0,4.0,Full Professor,Physics,STEM
148452,2,2,True,True,True,False,0.0,2.0,5.0,Associate Professor,Sociology,Non-STEM
148555,2,0,False,True,True,True,0.0,3.0,9.0,Full Professor,Sociology,Non-STEM
148650,0,0,False,False,False,True,0.0,2.0,4.0,Full Professor,Computer science,STEM
