user_db_id,field,subfield,career_stage,top_init_venue_db_id,mid_init_venue_db_id,low_init_venue_db_id,venue_bug,hash,gender,aa_area,clusters_20,clusters_40,institution_bin_3,institution_bin_10,academia_prestige_bin_3,academia_prestige_bin_10
147609,Business,Accounting,Full Professor,1658795,1659092,1669856,False,vpH78eVOxcvNYIMizoneVA,gm,,1,2,,,,
147627,Biology,Evolutionary biology,Associate Professor,1647094,1647722,1647827,False,IDiX1aPr6rh9SxzyJb4IQg,gm,Biological Sciences,12,18,2.0,4.0,2.0,5.0
148519,Computer science,Computer graphics (images),Associate Professor,1659694,1651402,1647841,False,IwPIjSP6PZznyZ7R5OjLaQ,gm,,16,31,,,,
147901,Chemistry,Other,Full Professor,1647100,1647122,1650189,False,tA0szIVVZnn290sRehRRBQ,gm,Chemical Sciences,4,6,2.0,5.0,2.0,5.0
148144,Biology,Neuroscience,Full Professor,1647092,1648536,1647320,False,EHwj3ny-CENuiXWDxsHf2A,gm,Biological Sciences,10,15,2.0,5.0,2.0,5.0
148413,Sociology,Anthropology,Full Professor,1669812,1652980,1663910,False,5CrkaTyZ-5weh1v-ikd1YQ,gm,Anthropology,11,16,3.0,8.0,3.0,9.0
147798,Engineering,Mechanical engineering,Associate Professor,1655543,1648034,1653842,False,4QBbdYQ58qQPzyMR5KcVCQ,gm,Engineering,12,18,3.0,8.0,3.0,9.0
148419,Physics,Nuclear physics,Associate Professor,1647094,1647367,1648271,False,5lhHr5MCJcSI6gOpaB9COQ,gf,Physical Sciences,5,7,1.0,3.0,1.0,1.0
147995,Physics,Theoretical physics,Full Professor,1647118,1647203,1648094,False,mTeh6dPNGN4idqWV9PpHmg,gm,Physical Sciences,6,8,3.0,8.0,2.0,6.0
148327,Business,Accounting,Associate Professor,1658795,1680017,1662486,False,pd7nkX-gzly8f6XpkzSJtw,gm,,1,1,,,,
148079,Psychology,Cognitive psychology,Full Professor,1648209,1650715,1647096,False,UZbdELFd39aZoP5yGQJAEA,gm,Psychological Sciences,12,18,1.0,3.0,1.0,3.0
147961,Sociology,Demography,Full Professor,1648524,1656606,1664661,False,dNmWU0zujxgB3-0JYlVMrw,gm,Sociology,17,34,1.0,2.0,1.0,1.0
148281,Biology,Evolutionary biology,Associate Professor,1647094,1647827,1650119,False,8cHmbCjZlarx2GPkPXVmaQ,gm,Biological Sciences,9,14,2.0,6.0,2.0,4.0
148262,Sociology,Other,Full Professor,1648524,1650744,1660057,False,Ki_qKAVZdv6FOGGzA_Clqg,gf,Sociology,17,33,2.0,5.0,2.0,6.0
151119,Computer science,Natural language processing,Full Professor,1648971,1712937,1712939,False,_MV66BxSeCK5B5aPbnT4UA,gf,,16,30,,,,
147594,Psychology,Cognitive science,Associate Professor,1652156,1663221,1711154,False,KGmrsJPjFrQB732sdg64Eg,gm,,7,11,,,,
147842,Business,Other,Full Professor,1666739,1653438,1651504,False,D3J5yNsv7BG6qlhyukMFsw,gm,,19,37,,,1.0,4.0
147897,Physics,Astronomy,Associate Professor,1647094,1649748,1647487,False,JmmvJqutY-NYvb5Ip6wQyg,gf,Physical Sciences,3,5,2.0,5.0,2.0,6.0
147662,Mathematics,Geometry,Full Professor,1650953,1663740,1683379,False,nHDZ59T4Yeb52zkQakUGAA,gm,Mathematical Sciences,13,21,2.0,5.0,2.0,5.0
147766,Economics,Industrial organization,Assistant Professor,1650343,1653339,1676660,False,aieXxrb6ff9mU-gw-4Cnsg,-,Economics,2,3,1.0,1.0,1.0,1.0
150972,Physics,Nuclear physics,Full Professor,1647118,1647367,1647496,False,TmrSAaIyVrFSP1z6obp24w,gm,Physical Sciences,5,7,2.0,5.0,1.0,4.0
147552,Mathematics,Pure mathematics,Full Professor,1663821,1649124,1647461,False,nDR7Of2SlY3Q_tSGW2CAKg,gm,Mathematical Sciences,13,21,2.0,5.0,1.0,4.0
148438,Psychology,Other,Full Professor,1653749,1659149,1662860,False,ekGPqEqmcsZH5RpsY1hygQ,gm,Education,20,39,2.0,6.0,1.0,3.0
148420,Engineering,Other,Full Professor,1647941,1648392,1653297,False,UnBb0UhD2UkldYclOpWtjQ,gm,Engineering,16,28,1.0,2.0,1.0,2.0
148133,Computer science,Artificial intelligence,Full Professor,1649636,1647841,1653748,False,CeMSYSm8uN60oeWAcyse-w,-,,16,30,,,,
150700,Physics,Particle physics,Associate Professor,1647094,1647118,1647129,False,jhYGmMIMHj9u1p2MeuG3Mw,gf,Physical Sciences,3,5,2.0,6.0,3.0,7.0
147908,Psychology,Other,Full Professor,1648093,1651804,1648220,False,8OaBzlEFKFQG0n3SLMbr_A,gm,Psychological Sciences,20,39,3.0,8.0,3.0,8.0
148223,Psychology,Clinical psychology,Full Professor,1663368,1648972,1662272,False,vEitDO-Q5R95xAeR5RPgYQ,gf,Psychological Sciences,8,12,1.0,3.0,1.0,2.0
150359,Psychology,Cognitive science,Associate Professor,1648464,1660339,1673506,False,aNUajxDa4tcIrh8Vcd67oA,gf,Linguistics,20,38,2.0,5.0,1.0,3.0
147775,Business,Accounting,Full Professor,1656959,1658824,1680017,False,Hbrw6hxSDb8iDzTnFspVDQ,gf,,1,2,,,,
149481,Biology,Cell biology,Associate Professor,1647607,1651595,1647714,False,LDm4cv6lHvBO2W-Pw1efTg,-,Biological Sciences,7,11,1.0,2.0,1.0,2.0
149083,Psychology,Applied psychology,Full Professor,1656274,1651416,1694670,False,n4L0G38ziKQryo0xhOV48Q,gm,,20,40,,,3.0,10.0
147827,Physics,Astronomy,Full Professor,1647129,1647487,1647150,False,f44g6ThNifTXfFggqro2QA,gm,Physical Sciences,3,5,2.0,6.0,2.0,5.0
147715,Computer science,Data mining,Full Professor,1651758,1648769,1648951,False,H-PgVhkrgJw6KP0VBbP7VA,gm,,16,30,,,,
149131,Chemistry,Inorganic chemistry,Associate Professor,1651363,1647908,1647646,False,uY6rb4eMmqGwB43q2qB-9Q,gf,Chemical Sciences,6,9,2.0,7.0,2.0,7.0
150337,Mathematics,Mathematics education,Associate Professor,1653213,1655966,1649094,False,o5eBOE3KMLsMIrGnMZ3H6Q,gf,Education,16,26,2.0,6.0,2.0,6.0
148169,Computer science,Human computer interaction,Associate Professor,1647841,1658799,1669153,False,8QA8iAc2ZvG-hWAJZ_nA9w,gm,,16,32,,,,
148957,Economics,Economic history,Assistant Professor,1650681,1648413,1680197,False,-Pvu4QAZTm1YralPsKkTbg,gf,Economics,2,4,2.0,4.0,2.0,4.0
149073,Sociology,Other,Full Professor,1648524,1649621,1658136,False,VxcY-ooUTEtwxyQ9-RQM3g,gf,Sociology,17,34,1.0,1.0,1.0,1.0
148987,Sociology,Demography,Full Professor,1653909,1656606,1664661,False,UvEGUvYD-9Y94O6ap-IjKA,gm,Sociology,17,33,2.0,5.0,2.0,6.0
149468,Biology,Bioinformatics,Full Professor,1676795,1650525,1647989,False,XnpdwVf6S1HVSm_TbM2R0g,-,Computational Sciences,12,18,2.0,4.0,1.0,3.0
149403,Psychology,Other,Assistant Professor,1648157,1662466,1673681,False,6PS6Licbj2FXUzA_Y1dsAw,gf,Anthropology,12,18,1.0,2.0,1.0,3.0
