venue_db_id,venue_oa_id,name,users_selected,display_name,2yr_mean_citedness,works_count,cited_by_count,issn_l,first_topic,db_concept,jcr_jif,jcr_name
1647094,3880285,Science,2115,Science,9.799138652948916,375806.0,19887381.0,0036-8075,Medicine,Biology,44.7,science
1647092,137773608,Nature,2066,Nature,16.742530755711776,431710.0,23401316.0,0028-0836,Medicine,Biology,50.5,nature
1647108,125754415,PNAS,1773,Proceedings of the National Academy of Sciences,9.59545233463035,158129.0,20334975.0,0027-8424,"Biochemistry, Genetics and Molecular Biology",Biology,9.4,proceedings of the national academy of sciences of the united states of america
1647096,202381698,PLOS ONE,611,PLoS ONE,3.5450036293249454,281207.0,9672253.0,1932-6203,Medicine,Biology,2.9,plos one
1647607,110447773,Cell,539,Cell,38.70490196078431,25121.0,7948602.0,0092-8674,"Biochemistry, Genetics and Molecular Biology",Biology,45.5,cell
1647118,24807848,Physical Review Letters,529,Physical Review Letters,7.078070336954521,137606.0,11778773.0,0031-9007,Physics and Astronomy,Physics,8.1,physical review letters
1647101,140251998,Journal of Biological Chemistry,402,Journal of Biological Chemistry,4.692939858050056,205840.0,16253016.0,0021-9258,"Biochemistry, Genetics and Molecular Biology",Chemistry,4.0,journal of biological chemistry
1649056,23254222,The American Economic Review,387,American Economic Review,14.87984496124031,10328.0,1592021.0,0002-8282,"Economics, Econometrics and Finance",Economics,10.5,american economic review
1648203,95323914,Journal of Political Economy,372,Journal of Political Economy,7.183908045977011,15429.0,1186995.0,0022-3808,"Economics, Econometrics and Finance",Economics,6.9,journal of political economy
1648890,75627607,Psychological Bulletin,357,Psychological Bulletin,11.541984732824428,11243.0,1591730.0,0033-2909,Psychology,Psychology,17.3,psychological bulletin
1650681,203860005,Quarterly Journal of Economics,347,The Quarterly Journal of Economics,17.835164835164836,6515.0,1089931.0,0033-5533,"Economics, Econometrics and Finance",Economics,11.1,quarterly journal of economics
1647125,62468778,The New England Journal of Medicine,347,New England Journal of Medicine,24.09090909090909,122243.0,10581682.0,0028-4793,Medicine,Medicine,96.2,new england journal of medicine
1648613,33323087,Management Science,340,Management Science,6.977064220183486,12678.0,1160066.0,0025-1909,"Business, Management and Accounting",Economics,4.6,management science
1650343,95464858,Econometrica,336,Econometrica,7.762295081967213,7017.0,1439958.0,0012-9682,"Economics, Econometrics and Finance",Economics,6.6,econometrica
1647100,111155417,Journal of the American Chemical Society,331,Journal of the American Chemical Society,14.656085649887302,206495.0,13890657.0,0002-7863,Chemistry,Chemistry,14.4,journal of the american chemical society
1647091,49861241,The Lancet,323,The Lancet,14.326315789473684,467658.0,8559587.0,0140-6736,Health Professions,Medicine,98.4,lancet
1648093,29984966,Journal of Personality and Social Psychology,321,Journal of Personality and Social Psychology,4.425968109339408,16697.0,2467384.0,0022-3514,Social Sciences,Psychology,6.4,journal of personality and social psychology
1653339,88935262,The Review of Economic Studies,317,The Review of Economic Studies,8.973958333333334,3905.0,558732.0,0034-6527,"Economics, Econometrics and Finance",Economics,5.9,review of economic studies
1648524,157620343,American Sociological Review,317,American Sociological Review,7.211764705882353,12833.0,1219514.0,0003-1224,Social Sciences,Sociology,7.1,american sociological review
1647555,122471516,American Journal of Sociology,309,American Journal of Sociology,1.0031645569620251,27435.0,703043.0,0002-9602,Social Sciences,Sociology,4.4,american journal of sociology
1647243,64187185,Nature Communications,306,Nature Communications,15.905644590332754,52719.0,4618302.0,2041-1723,"Biochemistry, Genetics and Molecular Biology",Biology,14.7,nature communications
1650354,35223124,Psychological Review,302,Psychological Review,5.888198757763975,7148.0,1145308.0,0033-295X,Psychology,Psychology,5.1,psychological review
1647097,172573765,JAMA,290,JAMA,8.99884825799021,258776.0,5682258.0,0098-7484,"Economics, Econometrics and Finance",Medicine,63.1,jama-journal of the american medical association
1647105,196734849,Scientific Reports,280,Scientific Reports,4.329237607984568,178855.0,4990992.0,2045-2322,"Biochemistry, Genetics and Molecular Biology",Biology,3.8,scientific reports
1648193,5353659,Journal of Finance,273,The Journal of Finance,9.737623762376238,15638.0,1631828.0,0022-1082,"Economics, Econometrics and Finance",Economics,7.6,journal of finance
1647245,54862371,Physical Review,273,Physical Review,0.0,49535.0,2976058.0,0031-899X,Physics and Astronomy,Physics,,
1652768,149240962,Journal of Financial Economics,246,Journal of Financial Economics,17.354401805869074,4388.0,1193956.0,0304-405X,"Business, Management and Accounting",Business,10.4,journal of financial economics
1647807,127916151,The EMBO Journal,245,The EMBO Journal,9.77906976744186,20958.0,2866166.0,0261-4189,"Biochemistry, Genetics and Molecular Biology",Biology,9.4,embo journal
1650235,180061323,The Review of Economics and Statistics,236,The Review of Economics and Statistics,5.7388059701492535,7238.0,599254.0,0034-6535,"Economics, Econometrics and Finance",Economics,7.6,review of economics and statistics
1647709,130611943,Social Forces,232,Social Forces,1.3273273273273274,22702.0,632511.0,0037-7732,Social Sciences,Sociology,3.3,social forces
1655568,170137484,Review of Financial Studies,231,Review of Financial Studies,10.402489626556015,2933.0,543184.0,0893-9454,"Economics, Econometrics and Finance",Economics,6.8,review of financial studies
1647235,134668137,Nucleic Acids Research,228,Nucleic Acids Research,16.801385681293304,51166.0,4992067.0,0305-1048,"Biochemistry, Genetics and Molecular Biology",Biology,16.6,nucleic acids research
1647093,192814187,British Medical Journal (BMJ),227,BMJ,9.994585814834869,418377.0,3841842.0,0959-8138,Health Professions,Computer science,93.6,bmj-british medical journal
